File: bigger.txt has 51656 possible domains...
4170 new domains were found and added to final...txt
root@player:/media/sf__root_Desktop_injector_/bug# bugscanner final...txt --deep 3 -M wss -P myclass.1forum.my.id:8080
host             code  server                hostname
----             ----  ------                --------
36.86.63.182     302   BigIP                 105.185.65.18.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 110.196.250.142.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 11.248.199.67.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 110.199.250.142.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 107.13.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 111.51.16.104.in-addr.arpa
36.86.63.182     302   BigIP                 114.182.16.104.in-addr.arpa
36.86.63.182     302   BigIP                 103.60.199.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 115.8.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 115.12.51.184.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 115.9.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 113.12.51.184.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 137.252.106.109.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 16.104.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 139.24.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 120.12.51.184.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 174.77.13.31.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 185.65.18.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 171.195.35.23.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 100.52.30.128.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 2.2.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 18.104.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 14.42.107.13.in-addr.arpa
36.86.63.182     302   BigIP                 19.23.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 20.104.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 2.3.18.104.in-addr.arpa
36.86.63.182     302   BigIP                 21.104.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 23.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 248.199.67.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 205.39.179.54.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 236.8.26.104.in-addr.arpa
36.86.63.182     302   BigIP                 26.104.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 243.11.21.104.in-addr.arpa
36.86.63.182     302   BigIP                 228.103.60.199.in-addr.arpa
36.86.63.182     302   BigIP                 27.32.239.216.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 33.249.43.23.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 33.13.in-addr.arpa.dns.google.com
36.86.63.182     302   BigIP                 28.103.60.199.in-addr.arpa
36.86.63.182     302   BigIP                 37.22.21.104.in-addr.arpa
