host             code  server                hostname
----             ----  ------                --------
162.159.25.129   301   cloudflare            ns3.linode.com
162.159.25.129   301   cloudflare            ns3.linode.com
3.233.126.24     301                         www.confiz.com
34.234.52.18     301                         proxy-ssl.webflow.com
52.206.163.162   301                         proxy-ssl-geo.webflow.com
172.67.213.149   301   cloudflare            www.sixelevenbpo.com
104.21.31.12     301   cloudflare            www.quiltingismytherapy.com
5.2.252.212                                  www.expresscredit.ro
172.67.68.218    301   cloudflare            www.softwaretestinghelp.com
45.93.124.85     301   LiteSpeed             www.baliaogrodowa.pl
50.63.140.180    302   Apache                venuesix10.com
104.21.76.29     301   cloudflare            www.dezvaluiri.ro
80.96.33.176     301   LiteSpeed             www.trnews.ro
192.237.193.181  301   Apache/2.4.52 (Ubuntu)  www.theredwoodriverwalk.com
45.93.124.85     301   LiteSpeed             baliaogrodowa.pl
85.13.141.91     301   Apache                www.johnrigbyandco.com
5.2.252.212                                  expresscredit.ro
217.21.72.130    301   LiteSpeed             gurudikmen.com
104.18.153.16    403   cloudflare            calgaryattractions.com
108.157.162.106  301   CloudFront            www.maine.gov
206.189.233.96   301   nginx/1.14.0 (Ubuntu)  www.chicagowatertaxi.com
206.189.233.96   301   nginx/1.14.0 (Ubuntu)  chicagowatertaxi.com
80.96.33.176     301   LiteSpeed             trnews.ro
43.229.62.190    301   Apache                www.secretgardens.com.au
108.157.162.47   403   CloudFront            static.web.maine.gov
108.157.162.24   403   CloudFront            www-me.egov-cdn.com
35.230.141.173   403   nginx                 www.studio-society.com
185.151.30.137   301   Apache                www.thesmileworks.com
173.249.51.118   302   nginx                 bondassage.com
35.230.141.173   403   nginx                 studiowh.wpengine.com
172.67.158.27    301   cloudflare            fugenstone.co.uk
23.128.160.79    301   LiteSpeed             mrcdemaria-chapdelaine.ca
103.227.176.6    301   Apache                floatlab.com.au
35.209.150.28    301   nginx                 hericoll.com
35.227.149.114   403   nginx                 ayelet.com
23.212.250.83    301                         www.ihg.com
23.212.250.84    400   AkamaiGHost           prod-web.ihg.edgekey.net
23.212.250.84    400   AkamaiGHost           e101509.dscx.akamaiedge.net
101.100.208.154  301   Apache                skygardensentosa.com
68.168.223.224   301   Apache                www.heliconiasnaturelodge.com
151.101.66.159   301   Flywheel/5.1.0        www.raashotels.com
101.0.77.10      301   Apache                www.wanneroobotanicgardens.com.au
104.21.43.36     403   cloudflare            www.maypole.com.mt
172.67.218.1     409   cloudflare            www.maypole.com.mt.cdn.cloudflare.net
192.124.249.113  301   Sucuri/Cloudproxy     dailydividends.cpaalberta.ca
