 DNS: es -> IP: 
 DNS: ko -> IP: 
 DNS: jv -> IP: 
 DNS: pt -> IP: 
 DNS: pay.facebook.com/ -> IP: 157.240.218.35
 DNS: www.meta.com/ -> IP: 31.13.68.1
 DNS: en -> IP: 
 DNS: www.facebook.com/watch/ -> IP: 157.240.218.35
 DNS: fr -> IP: 
 DNS: www.facebook.com/help/568137493302217 -> IP: 157.240.218.35
 DNS: de -> IP: 
 DNS: store.linefriends.com/collections/cony -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/beauty -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/b -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/coin -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/accessories -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/bt21 -> IP: 23.227.38.32
 DNS: ar -> IP: 
 DNS: www.facebook.com/recover/initiate/ -> IP: 157.240.218.35
 DNS: store.linefriends.com/collections/blankets -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/bath -> IP: 23.227.38.32
 DNS: developers.facebook.com/ -> IP: 31.13.68.1
 DNS: store.linefriends.com/collections/clocks -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/basic -> IP: 23.227.38.32
 DNS: ja -> IP: 
 DNS: store.linefriends.com/collections/apparel -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/chimmy -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/boss -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/airpod -> IP: 23.227.38.32
 DNS: messenger.com/ -> IP: 157.240.217.17
 DNS: store.linefriends.com/collections/bottoms -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/eco -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/choco -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/calendars -> IP: 23.227.38.32
 DNS: store.linefriends.com -> IP: 23.227.38.32
 DNS: store.linefriends.com/blogs/collections -> IP: 23.227.38.32
 DNS: store.linefriends.com/account/register -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/backpacks -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/bon -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/brown -> IP: 23.227.38.32
 DNS: www.meta.com/quest/ -> IP: 31.13.68.1
 DNS: l.facebook.com/l.php -> IP: 31.13.68.36
 DNS: store.linefriends.com/collections/8 -> IP: 23.227.38.32
 DNS: store.linefriends.com/account/login -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/drinkware -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/collectible -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/enamel -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/car -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/james -> IP: 23.227.38.32
 DNS: discountninja.io -> IP: 172.67.161.66
 DNS: store.linefriends.com/collections/fashion -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/deco -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/interactive -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/chilli -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/headwear -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/hand -> IP: 23.227.38.32
 DNS: about.meta.com/ -> IP: 31.13.68.1
 DNS: store.linefriends.com/collections/hair -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/electronics -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/cooky -> IP: 23.227.38.32
 DNS: ms -> IP: 
 DNS: store.linefriends.com/collections/handbags -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/infant -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/cushions -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/jessica -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/lawoo -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/jewelry -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/mang -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/hikun -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/home -> IP: 23.227.38.32
 DNS: store.linefriends.com/collections/kitchenware -> IP: 23.227.38.32
